ID;Description
Leichhardt Oral History Project;Leichhardt, New South Wales, Australia, Australia. 
Lena Ferguson Collection;"Halifax, Nova Scotia, Canada. Interviews conducted between 1975 and 1988 for research on the history of the Eastern Shore of Halifax County. Interviewees are residents of the Eastern Shore. Particularly the Chezzetcook area (including Porter's Lake). They discuss local industries, including small businesses, commerce, and the forest products industry, occupations, shipping, genealogies, buildings, churches, and language. Includes interviews with Acadians. Sound quality varies. English, French. Duplication requires written permission from Ms. Ferguson. List of informants and subjects; sample item level description. "
Lennox and Addington Historical Society Collection;Napanee, Ontario, Canada. Interviews conducted between 1958 and 1985 by community volunteers. Topics pertain to local history and vary widely, including farm life, the lumber trade, shipping, railroads, gas works, the Ponton Trial of 1908, temperance, politics, teaching, the Bell Telephone Company, the Bay of Quinte Railway, the Seymour Power and Light Company, the Canada Land Company, the Hudson's Bay Company, the Canadian Pacific Railway Company, ethnic relations, Irish Canadians, and th Tyendinaga Six Nations Mohawk Reserve. Material covers the years 1870 to 1975, mostly 1890-1945, and places mentioned include Napanee, Moscow, the Bay of Quinte, Erinsville, arker, Camden Township, Camden East, Newburgh, Tyeninaga, Tweed, and Strathcona, all in Ontario, and Peace River, Alberta. Sound quality varies. English. Short quotation for research permitted, Rights to commerical usage or duplication of recordings not obtained. Index to subject matter for a few interviews. Partial transciption (12 interviews). 
Lenox Hill Hospital Oral History Project;New York, New York, United States. We are currently completing the processing of 60 hours of audiotaped interviewing on the history of the Lenox Hill Hospital. 
Lesbian and Gay Academic Society Collection;"Ottawa, Ontario, Canada. ""Conversations with Marie-Claire Blais"", a question and answer format lecture held at the University of Toronto on February 14, 1985. Questions focus on Blais' novels, and her experiences as a writer. English. Open. Short description in ""A Descriptive Inventory of the Sound Recordings at the CWMA/ACMF"" (1988). "
Lewis T. Preston;Washington, District of Columbia, United States. The interviews give glimpses into the complexity of the Bank's evolution beginning in 1944 at the Bretton Woods Conference, where the Articles of Agreement of the World Bank and the International Monetary Fund (IMF) were negotiated. They are conducted on an institutional level, with the goal of eliciting from the participant as full and accurate an account as possible. That is, capturing firsthand accounts of important events and experiences from those who observed and participated in them and, in some instances, supplemented with personal and anecdotal material to illustrate. The Oral History Program Interview Series has recently been re-established as an ongoing and integral function of the World Bank Group Archives. 
Lewiston Site Survey;Boise, Idaho, United States. 
Liberal Party of Canada Collection;North York, Ontario, Canada. Interviews conducted in 1971 and 1972 by Professor Jack L. Granatstein, related to Mackenzie King, World War II, politics and foreign policy, and the Liberal Party from 1935 to 1945. Contains references to D.C. Abbott, John W. Holmes, H.A. Kidd, George McIlraith, J.W. Pickersgill, Paul Martin, L.B. Pearson, C.S.A. Ritchie, and Viscount Chandes. English. Permission for access must be obtained from Jack L. Granatstein and directed to the Archivist, York University. Finding aids. 
Library of American Broadcasting Oral Histories;College Park, Maryland, United States. Highlights of the Library's audio holdings include nearly 1000 oral histories, interviews, and speeches (most of which have transcripts) with such notables as Judith Waller, William Paley, Himan Brown, Mary Tyler Moore, Minnie Pearl, Edgar Bergen, Betty White, Dorothy Fuldheim, Norman Corwin, Ruth Crane Schaefer, Leonard Goldenson and Lowell Thomas. 
Lick Observatory History;Santa Cruz, California, United States. 
Life Histories of Native Hawaiians;Honolulu, Hawaii, United States. In Life Histories of Native Hawaiians, the lifestyles and experiences of Hawaiians in the first half of this century are examined. In cooperation with the Wai`anae Hawaiian Heritage Cultural Center, researcher and writer June Gutmanis conducted oral history interviews with nine older Hawaiians, including a community worker, teacher, seaman, streetcar conductor, nurse, entertainer, homemaker, plantation worker, and cowboy. Interviews cover childhood memories, job experiences, political and cultural involvements, views on the Hawaiian language, and various aspects of daily lives. A common topic is the lifestyles of Hawaiian families in the early twentieth century. 
Life History: Ruth Rives;Bloomington, Indiana, United States. 
Life in Kent before 1914 Oral History Project;Canterbury, United Kingdom. The purpose of this research was to study the everyday lives, occupations and attitudes of people who grew up in Kent before the First World War. Five hundred interviews were conducted with men and women from all walks of life and from different parts of the county. One aim of the project was to assess the merits, limitations and difficulties of oral history techniques and to find out the extent to which new historical evidence could be gleaned from these interviews . 
Life of the Maine Lobsterman Project Interviews;"Orono, Maine, United States. This collection consists of interviews with lobstermen by David Taylor and others conducted during the summer of 1974 for the University of Maine course FO 197. The interviewees discuss lobstering on the Maine coast; the life of a lobster fisherman; clamming; trawling; shad fishing; early history of lobster fishing; lobstering equipment and costs; territoriality; lobstering laws; types of boats; Friendship sloops; and the Maine Lobstermen’s Association. "
Life Sciences Oral History;Madison, Wisconsin, United States. Interviews focusing on the development of the University's distinguished record in the life sciences and on the response of life science departments to changes in the field of cell biology after World War II: 
Life Stories of People Born in Oxford County Collection;"Woodstock, Ontario, Canada. Interviews recorded in 1977, 1978 and 1990 with people born in Oxford County. Tom Williams talks about his experiences in the Canadian Air Force, during World Wars I and II; he received an award for being the oldest pilot. Clark Murray, a pharmacist, discusses early medicine and doctors in Woodstock. "
Lincoln Memorial Gardens;Springfield, Illinois, United States. The narrators discuss the design and establishment of this park on Lake Springfield from the 1930's onwards. 
Linus Pauling and the Race for DNA;Corvallis, Oregon, United States. Utilizing over 800 scanned documents, photographs, audio clips and video excerpts, this website narrates the breathless details of the pursuit of the discovery of the double helix structure of DNA. Scattered throughout the project are images of a number of very important and extremely rare items, all of which are held within The Valley Library's Ava Helen and Linus Pauling Papers, and many of which have not been previously displayed. Also featured are two original documents hitherto unknown to scholars interested in this period. It is expected that this website will serve as a primary reference point for individuals interested in the history of DNA -- both researchers and lay people alike. 
Little Rock Desegregation Crisis Oral History Transcripts;Fayetteville, Arkansas, United States. Xerox copy of typewritten transcripts of oral history interviews conducted, 1970-1972, by Columbia University's Oral History Research Office with the following persons involved in or associated with the events and issues, 1957-1959, centering around the U.S. district court ordered racial desegregation of Central High School in Little Rock, Arkansas: J. Bill Becker, Orval Eugene Faubus, Nathaniel Robadeau Griswold, Archie F. House, Elizabeth Huckaby, Robert A. Lile, Sidney Sanders McMath, Terrel E. Powell, Everett Tucker, Wayne Upton. 
Living and Farming at Lane in 1924-1925;Eugene, Oregon, United States. Interview with Harold Haskell 
Living and Learning, 1908-1983;Storrs, Connecticut, United States. 
Living History: Oral History Interviews;Lansing, Michigan, United States. 
Living Memory of the Jewish Community;London, England, United Kingdom. 183 (as at April 2000) personal testimonies of the Jewish Holocaust, recorded from survivors now living in Britain, and from children of survivors. The interviews were conducted between 1988 and 1993 by various recordists, and form part of the National Life Story Collection. Other relevant collections include C830 Holocaust Survivor Centre Testimony Recording Project, C533 Testimony: Video Interviews with British Holocaust Survivors, and C551, Anton Gill: Holocaust Survivors' Interviews. 
Living Treasures Oral History Collection, 1982-;Santa Fe, New Mexico, United States. Collection consists the organizational papers of Living Treasures, Inc., including correspondence, clipping and research files, transcripts, audio tapes, and a few video recordings of interviews, honoring citizens of Santa Fe and other towns in northern New Mexico as Living Treasures for their hard work and dedication to our communities. 
Living Voices;Suitland, Maryland, United States. Living Voices/Voices Vivas is an audio series in English and Spanish featuring profiles of Native Americans and Native Hawaiians today. People of many ages, traditions and perspectives tell their own stories, reflecting the wide range of contemporary Native experience in Canada, Mexico, Panama, and the US. Living Voices consists of 40 profiles in English. 
Lloyd Cutler Biographical Oral History;Charlottesville, Virginia, United States. On three occasions in the summer of 2003 the Miller Center's Presidential Oral History Program spent a full day with Washington attorney Lloyd Cutler to record an oral history of Cutler’s life and times. The first two interviews are currently available. 
Local Culture and Diversity on the Prairies Project;Edmonton, Alberta, Canada. The aim of the project LOCAL CULTURE AND DIVERSITY ON THE PRAIRIES was to contribute to Canadians' understanding of diversity and the growth of local community life in Canada. The project will created a large repository of recorded interviews which document everyday life, ethnic identity and regional variation among people of Ukrainian, French, German, and English heritage on the prairies up to 1939. 
Local Heroes: An Oral History of World War II - Australia;Australia. Local Heroes is a collection of interviews of World War Two Veterans from the bayside area of Melbourne, Australia. 
Local Heroes: An Oral History of World War II - Europe;Australia. 
Local Heroes: An Oral History of World War II - Middle East, Mediterranean, and North Africa;Australia. 
Local Heroes: An Oral History of World War II - Pacific;Australia. 
Local Information Oral History;Springfield, Massachusetts, United States. 
Local Leaders Study;Swansea, Wales, United Kingdom. 
Lodge Officers Study;Swansea, Wales, United Kingdom. 
Lois Boulware papers;"Iowa City, Iowa, United States. The Lois Boulware papers date from 1977 to 1995 and measure 0.5 linear inches. They include copies of two personal letters, the recipients unknown; an item written by her father, J.E. Boulware; a newspaper obituary; and the transcript of an oral history with Boulware by James Beilman for the University of Iowa Libraries. The tape of this interview is located in the Special Collections Department of the Iowa Libraries. "
Lois Fernandez;Philadelphia, Pennsylvania, United States. Oral history conducted by the Head of the Urban Archives. Ms. Fernandez is a community activist, entrepreneur and co-founder of ODUNDE. Initiated in 1979, ODUNDE is the oldest continuously running African-American community festival in Philadelphia, Pennsylvania. Interview conducted between December 8-10, 1999. 
London History Workshop Collection;"London, England, United Kingdom. 3000 hours of taped interviews recorded by the London History Workshop Centre between 1982 and 1990; includes interviews by famous History Workshop historians such as Raphael Samuel and Gerry White. It also includes all the audio interviews made by London Weekend Television for its series The Making of Modern London. "
London Museum of Jewish Life Oral History Interviews;London, England, United Kingdom. 
London's Voices: Voices Online;London, England, United Kingdom. London's Voices explores, reflects and celebrates London's great diversity through the voices, memories and opinions of Londoners. A three year programme of exhibitions, activities and events, it opens up the Museum of London's rich oral history collection. 
Long Beach Area History: Community Builders;"Long Beach, California, United States. Long Beach is a large and diverse community. It has a large urban university, an international port, tourist serving hotels and a convention center, water sports and recreation petroleum production and refining facilities, aerospace and other manufacturing and industrial plants as well as commercial offices and retail stores. Still, however, it's overshadowed by its larger neighbor, Los Angeles, and popularly known as the ""Sea coast of Iowa."" "
Long Beach Area History: Petroleum Entrepreneurs;Long Beach, California, United States. The development of southern California oil fields in the 1920s attracted people from all over the country who were hoping to strike it rich. Although most of them didn't, some became successful by supplying equipment to drillers, buying and selling petroleum products and drilling wells for speculators. 
Long Beach Area History: Responses to Subsidence and the Tidelands Controversy;Long Beach, California, United States. In the late 1930s, oil was discovered under Long Beach harbor. Its production helped Long Beach recover from the Depression and provided revenue to support expansion and modernization of the harbor as well as enriching individuals who owned land in the area. As a result when land near the oil field began to sink, those who were profiting from pumping the oil out from under the land resisted any suggestion that there could be a link between oil production and subsidence. They hired experts to defend their position. As the subsidence continued, those whose property was damaged by the sinking, but who were not benefiting from the oil production, hired experts to determine what was really causing the sinking. 
Long Beach Area History: Signal Hill;Long Beach, California, United States. Oil was discovered on Signal Hill, north of the City of Long Beach, in 1921. Soon more wells were brought it and the field spread into the City. As more people moved into the area to work on the wells and the developments that followed them, people in pre-existing neighborhoods worried that the field's spread might bring out of control wells, smelly sump holes and dangerous equipment near their homes. In response, Long Beach adopted regulations that limited oil development. Even as the City incorporated outlying neighborhoods that filled with the homes of oil workers and those in related industries, people on top of the hill, near the center of petroleum development, resisted. And in 1926 they incorporated their own City of Signal Hill which is completely surrounded by the City of Long Beach. 
Long Beach Area History: Terminal Island Issei/Nisei;Long Beach, California, United States. When the Los Angeles Terminal Railroad connected the city to the coastal communities of Long Beach and San Pedro in the 1890s, Rattlesnake Island, the narrow strip of land in the channel across from San Pedro became linked to Los Angeles and was renamed Terminal Island. A lively recreational area known as Brighton Beach soon developed in one part of the island and thrived until its demise in the late 1910s, when dredging deposits caused the water to recede. 
Long Beach Area History: The Development of California State University Long Beach (CSULB);Long Beach, California, United States. South Los Angeles-Orange County State College opened in a Long Beach apartment building in 1949. It was planned to serve the expanding suburbs in the area. First, however, it trained teachers for the schools in those suburbs even as it moved to a permanent campus and began to occupy permanent buildings. As its faculty grew they brought their university training and experiences to Long Beach and transformed the school first into California State College and then into California State University, Long Beach. 
Longwood Gardens Project;New York, New York, United States. Recollections of friends and associates of Pierre S. du Pont (1870-1954) concerning his development of and association with Longwood Gardens, Kennett Square, Pennsylvania. 
Lorne Flowers Collection;Kingston, Ontario, Canada. Interviews conducted in 1991 about the career of Lorne Fowers in the Canadian Merchant Marine aboard the ships Fernie and Weyburn on the Great lakes, in 1944 and 1946. 
Lorraine Downing Collection;Otterville, Ontario, Canada. Interviews pertaining to local and personal history. Interview with Lorne Treffrey, a miller, who speaks about his work. Interview with Edna Furlong, the oldest person in Otterville at the time of the recording. In depth interview with Maria DeWatcher, who immigrated from Belgium at age 4, her family first worked in the beet fields in Chatham, before taking up tobacco growing. English. Open. 
Lorraine Hawkins Series;Baton Rouge, Louisiana, United States. Hawkins (M.A. 1991, LSU) conducted interviews with residents of the rural communities of Pride and Chaneyville, Louisiana. The project began as a study of East Baton Rouge Parish's Horizon 2000 Plan, a program that involved neighborhood meetings to discuss long-range planning issues and land use. It grew into a community history. Interviewees discussed the settlement of the area, prominent families, the establishment of churches and schools, church life, early land ownership by African Americans, sawmills and railroads, Masonic and benevolent societies, and modernization. 
Los Angeles Architects;Los Angeles, California, United States. Architects who were active in Los Angeles in the postwar period, including Harwell Hamilton Harris, John Lautner, Raphael Soriano, and Raymond Kappe. 
Los Angeles Art Community - Group Portrait;Los Angeles, California, United States. This series includes interviews with prominent Los Angeles-based visual artists and other members of the art establishment whose careers span the period from the 1920s through the 1970s. It documents the art community of the pre-World War II period and the rise of Los Angeles as a nationally recognized art center in the postwar period. Funding for this series was provided by a grant from the National Endowment for the Humanities. 
Los Islenos Oral History Collection;St. Bernard, Louisiana, United States. The Society has made much progress in spreading the Isleño word over the years. In addition to establishing a museum, annual Isleño Fiestas are held with attendance increasing each year. Museum Days are held annually to give area student hands-on knowledge of the Isleños and their way of life, complete with palmetto huts depicting the first homes the settlers occupied. Three monographs and a cookbook have been published and three videos have been produced. Nunez Community College houses the Society’s collection of over 100 oral history tapes. 
Louis Armstrong Jazz Oral History Project;New York, New York, United States. The Schomburg Center for Research in Black Culture, one of four major research centers of The New York Public Library, is the world's leading publicly- accessible research institution for the study of the history and culture of peoples of African descent. During the 1990s, under the Louis Armstrong Jazz Oral History Project (funded by the Louis Armstrong Educational Foundation, Inc.), the Center has conducted video oral history interviews with Nat Adderley, Doc Cheatham, Jon Faddis, Art Farmer, Jimmy Heath, Milt Hinton, Yusef Lateef, Abbey Lincoln, Marian McPartland, Coleridge- Taylor Perkinson, Larry Ridley, Warren Smith, Grady Tate, Arthur Taylor, Clark Terry, Leon Thomas, Charles Tolliver, Tommy Turrentine, McCoy Tyner, Randy Weston and numerous others. 
Louis G. Cowan Broadcasting Collection;New York, New York, United States. Interviews with Jewish men and women who have distinguished themselves in the field of broadcasting. The collection was made possible through the generosity of the late Louis G. Cowan, founder of the Wiener Library. 
Louise Bolden Papers and Oral History;Iowa City, Iowa, United States. Papers and oral history, 1940s-1997 and undated. 1 linear inch. A native of Centerville, Iowa, who was employed as a cook, domestic worker, and day-care provider in Iowa City. 
Louise De Kiriline Lawrence Collection;Toronto, Ontario, Canada. Interview conducted on September 26 and 27, 1978 with Louise De Kiriline Lawrence, nurse to the Dionne quintuplets for the first 9 months of their lives. Contains references to Dr. Dafoe, the Red Cross, Northern Ontario (particularly Callander), Sweden and Russia. English. Open. Complete transcription, 99 pages. 
Louise Ford Collection;Toronto, Ontario, Canada. Interview conducted on September 25, 1978 with Louise Ford, who was nurse to the Dionne quintuplets from age 3 to age 6. Contains references to Dr. Dafoe and to Callander, Ontario. English. Open. Complete transcription, 94 pages. 
Louisiana Holocaust Survivors;New Orleans, Louisiana, United States. Local residents share their stories in interviews conducted by Plater Robinson, the Institute's Holocaust Education specialist. Oral histories of Holocaust survivors are an important resource for researchers and educators. The survivor's personal recollections provide insights into events as experienced and interpreted by the historical actors themselves. As always, oral histories must be used judiciously and readers are encouraged to consult other historical sources in order to develop a more complete understanding of the Holocaust. 
Louisiana State University Miscellaneous Series;"Baton Rouge, Louisiana, United States. Mostly biographical or local history interviews, contributed by individuals not affiliated with LSU, or by LSU faculty and students; some conducted by Williams Center staff under contract for interviewees' families. Among the topics covered, in addition to general family history and genealogy, are the insurance industry; Leni Riefenstahl, documentary film maker for Nazi Germany; Louisiana folkcrafts; Southern Association for Women Historians; the public health facility for Hansen's disease at Carville, Louisiana; President Lyndon Baines Johnson and his relationship with the press; WPA art projects in Louisiana; the New Llano Socialist Colony near Leesville, Louisiana; Jewish immigration to Louisiana; the Louisiana forestry industry; Baton Rouge blues musicians; the Baton Rouge Zoo; Louisiana fisheries; Civil War diarist Clara Solomon; hurricanes; faith healers; and architecture. "
Louisville Tornado 1974;Bloomington, Indiana, United States. 
Low Income and Minority Women Oral Histories;Detroit, Michigan, United States. A collaborative project of the Southwest Institute for Research on Women at the University of Arizona and the Schlesinger Library on the History of American Women at Radcliffe College, 1992. 
Low Income and Minority Women Talk about Their Lives, ca. 1930-1990;Cambridge, Massachusetts, United States. History notes : A minister with United Campus Christian Ministry and a doctoral candidate in history at the University of Arizona, Buss has been a community organizer since the late 1960s, when she herself was struggling to survive as an ill, divorced mother of three, dependent on welfare for support. She founded and directed the Women’s Crisis and Information Center in Fort Collins, Co. (1971-1973), worked in community outreach in Denver and Las Vegas, and taught at the University of Wisconsin, Whitewater, and the University of Arizona. She is the author of La Partera: Story of a Midwife (1980), Dignity: Lower Income Women Tell of Their Lives and Struggles (1985), Journey of the Sparrows (1991), and Forged under the Sun: The Life of Maria Elena Lucas (1993). Summary : Collection consists of audiocassettes and transcripts of 56 oral histories conducted by Buss with low-income and minority women of all ages from various geographic areas and racial/ethnic groups. Also included are field notes, photographs, and other supplemental material. A collaborative project of the Southwest Institute for Research on Women and the Schlesinger Library, this collection of interviews was transcribed, indexed, duplicated, and processed with funds from The Ford Foundation. Restrictions : Certain transcripts and tapes are closed until 2010. Readers must sign a special permission form to use the collection. 
Lower Gibbonsville;Boise, Idaho, United States. 
Lucille Getzleman;King City, California, United States. 
Lucius B. Clay;New York, New York, United States. Interviews with leading governmental and military figures who worked with General Lucius B. Clay in Germany in the post World War Two era. The interviews were conducted by John H. Backer as research for his book Winds of History: The German Years of Lucius Dubignon Clay (New York, 1983), and donated by Dr. Backer to the Oral History Research Office. 
Lumbee Indian Collection;Gainesville, Florida, United States. Part of the Doris Duke American Indian Collection 
Lumber Rafting Oral History Collection, 1873-1975;University Park, Pennsylvania, United States. The Lumber Rafting Oral History Collection documents the timber industry in North Central Pennsylvania, primarily between 1885-1940. The collection consists of sixty interviews, an article from the Harrisburg Patriot, a list of boat scaffolds in Clarion, and a film entitled The Last Raft, documenting the historical recreation of the last lumber raft, 1939. 
Lutheran Church in America, Caribbean Synod Leaders, Oral History Project;Elk Grove Village, Illinois, United States. 
Lutheran Church in America, Lutheran Church Women, Oral History Project;Elk Grove Village, Illinois, United States. Documents the history of the LCW, the LCA's women's organization 
Lutheran Family Folklore/Folklife Oral History;"Albuquerque, New Mexico, United States. The purpose of this oral history project, conducted by Roma Kempe, was to determine how the families of Albuquerque's St. Paul Lutheran Church have struggled to preserve their culture. The families are descendants of Norwegian, Swedish, German, Danish, and Finnish cultures who, during the earlier part of the twentieth century, were all members of the Lutheran Church. A problem arose in the church over what language the sermons and prayers should be conducted in. The Church wanted to ""assimilate"" the different ethnic groups and provide English services because many of the children did not understand the languages of their parents. As a result, language and culture began to be over-taken by the new American culture. Many churches tried to maintain their ethnicity, but during World War I, legislation was passed prohibiting the public use of foreign languages, especially German. This further limited the Church members' ability to maintain their ethnic traditions. "
Lyndon Baines Johnson Library Oral History Collection;"Austin, Texas, United States. The LBJ Library Oral History Collection is composed of interviews conducted for the LBJ Library under four separate projects: those done under the auspices of the National Archives; the White House during the Johnson Administration; the University of Texas Oral History Project; and the LBJ Library Oral History Project. The names of interviewees who have participated in more than one of these projects are repeated on this list to highlight this fact. Names of those with multiple interviews done by the same project are repeated when terms of access to their various interviews vary. Otherwise, the name of an interviewee is listed once even though he or she may have given more than one interview. "
Lynn Shoe Industry Project;Boston, Massachusetts, United States. The Lynn Shoe Industry Project (fourteen interviews) preserves the history of a once-thriving industrial city. In the first two decades of the twentieth century, Lynn, Massachusetts, emerged as a vital one-industry city. The shoe business single-handedly stimulated economic, social, and political development within the community. It also employed thousands of immigrant workers, advanced the causes of union interests, and fostered a unique spirit of community. This project explores the social significance of the shoe industry on Lynn and its remarkable rise and rapid fall. Topics of discussion include labor unions, immigration, industrialization, ethnicity, urbanization, and working-class life. 
MacArthur Corridor;Oakland, California, United States. in Progress 
Macon Community Collection;Tallahassee, Florida, United States. These interviews outline life in a North Florida black community, pre-1950. Interviews by Jennifer Opager with residents of Macon Community, an old-time Tallahassee neighborhood bounded by Meginnis Arm on the west and Meridian Road on the east. To the north and south it went beyond Lakeshore Drive and Henderson Road, respectively. Annie Mae Macon, Annie V. Brown, James R. Ford, Fred Hunter, Sr., Ruby Davis, and Naomi Randolph contributed to the interviews. 
Madison County African American Oral History Project;Richmond, Kentucky, United States. These interviews were collected by Dr. A.G. Dunston, a History professor at Eastern Kentucky University. All the interviewees are African-American individuals, most of whom grew up in the Richmond, Kentucky area. Their topics the Richmond black community, black owned businesses and land, segregation and desegregation in Richmond, and interracial relations. 
Maerdy Community Study;Swansea, Wales, United Kingdom. 
Magdalen Meade Papers;Iowa City, Iowa, United States. The Magdalen Meade papers date from 1891 to 1992 and measure 7 linear inches plus artifacts and audiocassettes. The papers are arranged in four series: Biographical, Politics, Farm Accounts, and Artifacts. 
Maine Leaders Oral History;"Orono, Maine, United States. Interviews with former Senator Margaret Chase Smith and James Russell Wiggins (Editor of the Ellsworth American). Smith discusses various aspects of her personal and political life, including childhood memories of growing up in Skowhegan; her political career in the House of Representatives and the Senate; reflections on American politics, public service and America's future. Wiggins talks about historic figures he has known, his years with the Washington Post, his tenure as Ambassador to the U.N. under President Johnson, his experiences as editor and publisher of the Ellsworth American. The interviews were supported with funds from the University of Maine President’s Office-- $2,000 for Chase Smith and $1,750 for the Wiggins interview. "
Major Figures in American Music;New Haven, Connecticut, United States. Major Figures in American Music is the core unit of Oral History American Music. It consists of approximately 300 interviews with composers, performers, and other significant musicians. 
Major Louis Patterson Collection;Toronto, Ontario, Canada. The interviewee discusses biographical detail and his work in the Anglican Church Book Room, as staff on the General Board of Religious Education. He also talks about 600 Jarvis Street (Toronto), the Anglican Book Centre, and the amalgamation of departments. Major Patterson worked in the Book Room for approximately 70 years. English. Open. 
Making of the New Deal Project;New York, New York, United States. Over fifty hours of interviews collected by long time Democratic Party activist Katie Louchheim for her book The Making of the New Deal: The Insiders Speak (Cambridge, 1983). The tapes are untranscribed. Contact the Office for information. No restrictions. 
Making of Urban History;Storrs, Connecticut, United States. 
Mallee Oral History Group Collection;Swan Hill, Victoria, Australia, Australia. To collect and preserve history of the Swan Hill area including settlement and establishment of the area and the experiences of its residents. 
Manhattan Plaza Project;New York, New York, United States. The Manhattan Plaza Housing Project was conceived as low income housing for midtown Manhattan. As part of the response to community concerns, a certain portion of the apartments were set aside for low income theatrical workers and professionals, since the project was an intimate part of the theater district of the City. This series of over 100 interviews, conducted by Sharon Zane and donated to the Collection, documents the development of the project, the growth of both the formal and informal community within Manhattan Plaza, and the response of both communities to the AIDS epidemic. The interviews have not been indexed or cataloged. 
Manhattan Project;Bloomington, Indiana, United States. 
Manny Harriman Video Oral History Collection;New York, New York, United States. Manny Harriman (1919-1997) was a veteran of both the Spanish Civil War (he served under his birth name, Samuel Nahman) and World War II who later pursued careers in tool and die making and publishing. Following his first return trip to Spain in 1977, Harriman became interested in the history of his fellow Spanish Civil War veterans. The collection consists of oral history interviews he began videotaping in 1985 with veterans and/or their surviving relatives and friends across the country. The collection also contains a small number of recordings of VALB political activities during the mid-1980s, particularly around aid to Nicaragua. Harriman captured the personal histories of at least 180 veterans. The interviews cover veterans’ family histories, their motivations for joining the Abraham Lincoln Brigade, their experiences fighting in Spain and later in World War II, and their activities in subsequent years. 
Manpower Service Commission Oral History Scheme;Kingston upon Hull, United Kingdom. This collection of oral history interviews investigated the everyday lives of local inhabitants. 
Mantle Oral History Project;Leicester, United Kingdom. The collection documents the lives of 159 people who were living in or around Coalville, Leicestershire between 1984 and 1992. The people recorded recall memories and events going back to the turn of the 20th Century. Most of these events are particular to the local area and Leicestershire. However, some include memories of other places as diverse as Cornwall and India. 
Marat Moore Collection Oral History Interviews;"Johnson City, Tennessee, United States. While the dates of the interviews span the period from 1980-86, the information contained within the tapes and transcripts cover a period from 1914 through 1986. Moore interviewed two groups of women: those who worked in the mines during the decades from 1920 through 1940, and those who worked during the years from 1970 through 1986. The former Moore called ""pioneer"" miners, and the latter ""second generation"". Two additional interviews are of special interest: one with Helen Korich Krmpotich, a survivor of the April 3, 1914 ""Ludlow Massacre"" of miners and their families in Trinidad, Colorado by militia and agents of the Colorado Fuel and Iron Company; and one with Minnie Lunsford, a coal miner's wife who lived in ""bloody"" Harlan County, Kentucky during the 1930s, and who participated in the 1973-74 Brookside Mine strike in that county. "
MARC XX Project;New York, New York, United States. The Marc XX system (Machine Readable Catalog) was developed by a group of librarians in order to establish a standard form for computerized catalog systems. Through a grant from the History Committee of the American Library Association, we conducted interviews with nine people who created the system. The development of the system was one of the most important innovations in librarianship in this century. The interviews are open and available for consultation here and at the Library of Congress. J.E. Fall conducted the interviews. 
Margaret Fairbank Jory Collection;New Haven, Connecticut, United States. 
Margaret Greenfield Collection;Detroit, Michigan, United States. Interview with Aldo Lanza about Brookwood Labor College, n.d. Audio Tape only 
Margaret Sanger Papers;"Northampton, Massachusetts, United States. Birth control advocate; Nurse. Transcripts of interviews with Sanger family members about Margaret Sanger: Olive Byrne Richard by Jacqueline Van Voris (1977); Nancy Sanger Ivins and Margaret Sanger Marston by Jacqueline Van Voris (1977); Grant Sanger by Ellen Chesler (1976); Grant Sanger by Jacqueline Van Voris (1977). Birth control advocate and nurse. Sanger, a sex reform activist, fought for women's rights to use contraceptives and founded both the national and international Planned Parenthood Federations. Papers include correspondence, writings, organizational and conference materials documenting her leadership of the American and international birth control movements. Also included are records of activities and events related to Sanger's personal life, tributes, travels, art work, family materials, audio and video recordings, and dozens of photographs. (NOTE: The papers are divided into two distinct portions: those microfilmed by the Margaret Sanger Papers Project, consisting of 39.5 linear feet; and the unfilmed portion consisting of 73.5 linear feet. There is no container listing for the microfilmed portion included here. For more information see Scope and Contents note.) "
Marguerite Nunan Collection;Guelph, Ontario, Canada. Interview conducted in 1981. Marguerite (Dolly) Nunan has live in Guelph a number of years and recalls early Gueph and families that lived there. She also was interested in theatre in Guelph. English. Open. 
Maria Rogers Oral History Program Collection;Boulder, Colorado, United States. 
Marie Munk Papers;"Northampton, Massachusetts, United States. Lawyer; Judge; Marriage counselor. Oral history conducted at Smith College by Betty Eberhart, 1971. "
Marine Collection;Owen Sound, Ontario, Canada. Interviews recorded between 1982 and 1988 with captains and others from the Owen Sound Transportation Company, which operated packed freighters and ferries from Owen Sound to the North Shore of Georgian Bay, from 1928 to the present. They talk about shipping, disasters, various ships (S.S. Norisle, S.S. Norgoma, M.S. Chi-Cheemaun, S.S. Manasoo), and refer to Owen Sound, Tobermory, South Bay Mouth, and Griffith Island. English. Open. 
Marine Corps Project;New York, New York, United States. This series of memoirs by retired Marines, begun in 1966, is a continuing program of the Historical Branch of the United States Marine Corps. Together the interviews provide a picture of the development of the Marine Corps in the twentieth century. Personal experience and anecdotes highlight events of World War I, duty in China and the Caribbean, the development of amphibious warfare in World War II, Marine Corps aviation, the post war unification struggle, and Korea. 
Marine Museum Collection;Kingston, Ontario, Canada. Please use accession number when requesting material. 
Mario Antonio Rivera Papers;"Notre Dame, Indiana, United States. Papers of Mario Rivera, having to do with his work on the Cuban / Haitian Task Force of the United States Department of State; consisting of correspondence, memoranda, newsletters, press releases, manuals, reports, and summaries of interviews; concerning Cuban and Haitian refugees, internment camps, determination of asylum status, and the Cuban Oral History Project. "
